TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TimeSinceLastTransaction,Fraud,KMeans_Cluster,KMeans_Distance,KMeans_Fraud,ZScore_Fraud,IsoForest_Score,IsoForest_Fraud,DBSCAN_Cluster,DBSCAN_Fraud,Threat_Level
TX000232,AC00430,705.6,2023-02-20 18:41:43,Debit,Phoenix,D000103,205.45.234.42,M071,Branch,40,Doctor,124,3,14804.7,2024-11-04 08:09:04,-53789241.0,True,5,3.501907220598255,True,True,-0.07577005700437722,True,-1,True,4
TX000455,AC00264,611.11,2023-10-18 18:32:31,Debit,Detroit,D000215,141.201.46.191,M045,ATM,20,Student,282,4,919.84,2024-11-04 08:11:12,-33053921.0,True,5,3.2045102000042527,True,True,-0.08831067091749678,True,-1,True,4
TX000275,AC00454,1176.28,2023-12-20 16:08:02,Credit,Kansas City,D000476,50.202.8.53,M074,ATM,54,Engineer,174,5,323.69,2024-11-04 08:11:44,-27619422.0,True,5,4.154113462468983,True,True,-0.13361939393344424,True,-1,True,4
TX001439,AC00179,1831.02,2023-09-15 17:31:42,Credit,Columbus,D000246,141.121.30.32,M012,Online,62,Doctor,83,1,11498.01,2024-11-04 08:10:52,-35908750.0,True,4,3.5722821367081434,True,True,-0.02686501368247618,True,-1,True,4
TX000773,AC00093,827.14,2023-01-17 17:25:13,Debit,El Paso,D000645,215.97.143.157,M018,Branch,36,Engineer,265,4,9800.21,2024-11-04 08:08:14,-56731381.0,True,5,3.3167989395259307,True,True,-0.10974483224700804,True,-1,True,4
TX000899,AC00083,1531.31,2023-10-23 18:00:29,Debit,San Diego,D000319,91.204.200.167,M078,Online,18,Student,62,4,859.86,2024-11-04 08:06:40,-32623571.0,True,5,4.928570971342835,True,True,-0.11369604566901736,True,-1,True,4
TX001214,AC00170,1192.2,2023-12-21 16:21:27,Credit,Jacksonville,D000174,40.10.25.102,M093,Branch,60,Retired,103,5,7816.41,2024-11-04 08:09:14,-27532067.0,True,5,4.066550814034005,True,True,-0.11316811067102528,True,-1,True,4
TX000654,AC00423,1919.11,2023-06-27 17:48:25,Debit,Portland,D000191,207.157.126.125,M033,ATM,30,Doctor,161,1,11090.24,2024-11-04 08:10:27,-42819722.0,True,4,3.8027844224122345,True,True,-0.03677390070681241,True,0,False,3
TX001056,AC00317,13.48,2023-09-20 17:49:53,Debit,Las Vegas,D000279,32.169.88.41,M094,Online,18,Student,20,3,521.88,2024-11-04 08:10:20,-35475627.0,True,5,3.258805208551456,True,True,-0.022533119839694304,True,0,False,3
TX000467,AC00063,445.41,2023-11-20 16:27:31,Debit,Fresno,D000039,185.23.87.107,M015,ATM,35,Doctor,235,3,12154.66,2024-11-04 08:08:08,-30210037.0,True,5,3.2224435431757716,True,True,-0.056764085828666766,True,0,False,3
TX000395,AC00326,6.3,2023-12-14 18:52:54,Debit,Columbus,D000539,210.160.90.52,M017,Branch,80,Retired,283,5,7697.68,2024-11-04 08:12:13,-28127959.0,True,5,3.875244266405927,True,True,-0.12845272814347575,True,0,False,3
TX000341,AC00107,1830.0,2023-03-01 16:31:58,Debit,San Antonio,D000436,62.27.235.199,M082,Online,55,Engineer,238,1,2235.7,2024-11-04 08:11:59,-53019601.0,True,4,3.8140152730484633,True,True,-0.028806264126754688,True,0,False,3
TX000376,AC00316,1392.54,2023-11-20 16:51:14,Debit,El Paso,D000113,63.67.150.226,M013,Branch,41,Doctor,297,1,13347.69,2024-11-04 08:09:15,-30208681.0,True,4,3.876650549964031,True,True,-0.08233743411508232,True,0,False,3
TX001558,AC00245,262.43,2023-06-13 17:26:54,Credit,San Diego,D000365,172.184.35.29,M046,Online,37,Doctor,274,5,12841.01,2024-11-04 08:07:46,-44030452.0,True,5,3.257135208808085,True,True,-0.10791491809620546,True,0,False,3
TX001532,AC00432,26.07,2023-03-16 17:00:29,Debit,Baltimore,D000552,194.174.252.1,M061,Branch,20,Student,19,3,349.98,2024-11-04 08:10:16,-51721787.0,True,5,3.2785011345812722,True,True,-0.038293962969453976,True,0,False,3
TX001635,AC00358,1762.28,2023-10-06 16:05:34,Debit,Memphis,D000008,26.105.49.129,M066,ATM,24,Student,150,1,1380.34,2024-11-04 08:10:42,-34099508.0,True,4,3.3148919230597995,True,True,-0.010298159794051243,True,0,False,3
TX001619,AC00305,108.75,2023-10-17 16:09:20,Debit,Houston,D000081,119.163.214.161,M097,ATM,50,Doctor,23,4,14829.85,2024-11-04 08:10:18,-33148858.0,True,5,3.1119461765686984,False,True,-0.0702090196814582,True,-1,True,3
TX001704,AC00205,1294.81,2023-12-11 16:53:08,Credit,Washington,D000489,76.0.164.168,M026,Branch,45,Engineer,279,1,9927.75,2024-11-04 08:11:44,-28394316.0,True,4,3.2211169539949265,True,True,-0.03822913401594752,True,0,False,3
TX002446,AC00439,403.01,2023-09-04 17:32:35,Debit,Washington,D000677,223.32.70.156,M029,Online,63,Doctor,286,3,10513.52,2024-11-04 08:09:32,-36859017.0,True,5,3.3176024425841577,True,True,-0.07371164636312288,True,0,False,3
TX002150,AC00110,1250.94,2023-02-28 17:45:06,Debit,Columbus,D000282,35.67.21.23,M054,ATM,36,Doctor,107,2,11565.97,2024-11-04 08:08:33,-53101407.0,True,4,2.8961619206995355,False,True,-0.0626376959166256,True,-1,True,3
TX001248,AC00071,1647.74,2023-12-25 17:41:30,Debit,Louisville,D000593,113.137.153.101,M049,ATM,67,Retired,52,1,1483.84,2024-11-04 08:09:29,-27181679.0,True,4,3.288388945767004,True,True,-0.04839099557670146,True,0,False,3
TX000594,AC00039,139.57,2023-11-17 17:59:11,Debit,Fort Worth,D000222,13.30.106.126,M030,ATM,19,Student,263,3,271.78,2024-11-04 08:07:23,-30463692.0,True,5,3.4833501777480906,True,True,-0.04593958715631585,True,0,False,3
